train_id,station_order,station_code,station_name,delay_arrival
12509,6,AJJ,ARAKKONAM ,32
12509,7,PER,PERAMBUR ,37
12509,8,OGL,ONGOLE ,40
12509,9,BZA,VIJAYAWADA JN ,47
12509,10,RJY,RAJAMUNDRY ,90
12509,11,VSKP,VISHAKAPATNAM ,93
12509,12,VZM,VIZIANAGRAM JN ,105
12509,13,CHE,SRIKAKULAM ROAD ,110
12509,14,PSA,PALASA ,104
12509,15,BAM,BRAHMAPUR ,104
12509,16,BALU,BALUGAN ,115
12509,17,KUR,KHURDA ROAD JN ,126
12509,18,BBS,BHUBANESWAR ,130
12509,19,CTC,CUTTACK ,131
12509,20,JJKR,JAJPUR K ROAD ,149
12509,21,BHC,BHADRAKH ,126
12509,22,BLS,BALASORE ,139
12509,23,KGP,KHARAGPUR JN ,148
12509,24,DKAE,DANKUNI ,155
12509,25,BHP,BOLPUR S NIKTN ,189
12509,26,RPH,RAMPUR HAT ,201
12509,27,NFK,NEW FARAKKA JN ,201
12509,28,MLDT,MALDA TOWN ,186
12509,29,BOE,BARSOI JN ,225
12509,30,KNE,KISHANGANJ ,244
12509,31,NJP,NEW JALPAIGURI ,230
12509,32,JPE,JALPAIGURI ROAD ,233
12509,33,DQG,DHUPGURI ,240
12509,34,NCB,NEW COOCH BEHAR ,247
12509,35,NOQ,NEW ALIPURDAUR ,250
12509,36,KOJ,KOKRAJHAR ,270
12509,37,NBQ,NEW BONGAIGAON ,255
12509,38,BPRD,BARPETA ROAD ,295
12509,39,RNY,RANGIYA JN ,329
12509,40,KYQ,KAMAKHYA ,326
12509,41,GHY,GUWAHATI ,311
15945,1,LTT,LOKMANYATILAK T ,11
15945,2,KYN,KALYAN JN ,26
15945,3,NK,NASIK ROAD ,18
15945,4,MMR,MANMAD JN ,20
15945,5,BSL,BHUSAVAL JN ,24
15945,6,BAU,BURHANPUR ,25
15945,7,KNW,KHANDWA ,17
15945,8,HD,HARDA ,25
15945,9,ET,ITARSI JN ,27
15945,10,JBP,JABALPUR ,42
15945,11,KTE,KATNI ,72
15945,12,MYR,MAIHAR ,32
15945,13,STA,SATNA ,81
15945,14,PCOI,PRAYAGRAJ CHHEOKI ,85
15945,15,MZP,MIRZAPUR ,93
15945,16,DDU,PT DEEN DAYAL UPADHYAY JN ,79
15945,17,DLN,DILDARNAGAR JN ,75
15945,18,BXR,BUXAR ,74
15945,19,DURE,DUMRAON ,76
15945,20,ARA,ARA ,72
15945,21,DNR,DANAPUR ,80
15945,22,PNBE,PATNA JN ,60
15945,23,PNC,PATNA SAHEB ,68
15945,24,BKP,BAKHTIYARPUR JN ,77
15945,25,BARH,BARH ,86
15945,26,MKA,MOKAMEH JN ,88
15945,27,NBJU,NEW BARAUNI JN ,66
15945,28,BGS,BEGU SARAI ,69
15945,29,KGG,KHAGARIA JN ,68
15945,30,MNE,MANSI JN ,68
15945,31,THB,THANA BIHPUR JN ,70
15945,32,NNA,NAUGACHIA ,73
15945,33,KIR,KATIHAR JN ,62
15945,34,BOE,BARSOI JN ,84
15945,35,KNE,KISHANGANJ ,95
15945,36,NJP,NEW JALPAIGURI ,94
15945,37,DQG,DHUPGURI ,86
15945,38,NCB,NEW COOCH BEHAR ,88
15945,39,NOQ,NEW ALIPURDAUR ,90
15945,40,KOJ,KOKRAJHAR ,105
15945,41,NBQ,NEW BONGAIGAON ,89
15945,42,BPRD,BARPETA ROAD ,115
15945,43,RNY,RANGIYA JN ,148
15945,44,KYQ,KAMAKHYA ,127
15945,45,GHY,GUWAHATI ,126
15945,46,HJI,HOJAI ,162
15945,47,LMG,LUMDING JN ,163
15945,48,DPU,DIPHU ,173
15945,49,DMV,DIMAPUR ,180
15945,50,FKG,FURKATING JN ,145
15945,51,MXN,MARIANI JN ,154
15945,52,SLGR,SIMALUGURI JN ,159
15945,53,NTSK,NEW TINSUKIA JN ,156
15945,54,DBRG,DIBRUGARH ,131
14037,1,SCL,SILCHAR ,2
14037,2,BPB,BADARPUR JN ,22
14037,3,NHLG,NEW HAFLONG ,17
14037,4,LMG,LUMDING JN ,19
14037,5,GHY,GUWAHATI ,2
14037,6,GLPT,GOALPARA TOWN ,32
14037,7,NBQ,NEW BONGAIGAON ,18
14037,8,NJP,NEW JALPAIGURI ,30
14037,9,KIR,KATIHAR JN ,23
14037,10,BJU,BARAUNI JN ,46
14037,11,PPTA,PATLIPUTRA ,40
14037,12,DDU,PT DEEN DAYAL UPADHYAY JN ,40
14037,13,PRYJ,PRAYAGRAJ JN ,84
14037,14,CNB,KANPUR CENTRAL ,109
14037,15,NDLS,NEW DELHI ,139
13181,1,KOAA,KOLKATA ,1
13181,2,BWN,BARDDHAMAN JN ,15
13181,3,BHP,BOLPUR S NIKTN ,18
13181,4,RPH,RAMPUR HAT ,32
13181,5,MLDT,MALDA TOWN ,33
13181,6,NJP,NEW JALPAIGURI ,46
13181,7,NCB,NEW COOCH BEHAR ,75
13181,8,NOQ,NEW ALIPURDAUR ,67
13181,9,FKM,FAKIRAGRAM JN ,68
13181,10,NBQ,NEW BONGAIGAON ,44
13181,11,KYQ,KAMAKHYA ,72
13181,12,GHY,GUWAHATI ,79
13181,13,JID,JAGI ROAD ,83
13181,14,CPK,CHAPARMUKH JN ,90
13181,15,NGAN,NAGAON ,84
13181,16,JKB,JAKHALABANDHA ,83
13181,17,SHTT,SILGHAT TOWN ,69
15909,1,DBRG,DIBRUGARH ,8
15909,2,NTSK,NEW TINSUKIA JN ,10
15909,3,BOJ,BHOJO ,22
15909,4,SLGR,SIMALUGURI JN ,25
15909,5,MXN,MARIANI JN ,25
15909,6,FKG,FURKATING JN ,10
15909,7,SZR,SARUPATHAR ,16
15909,8,DMV,DIMAPUR ,24
15909,9,DPU,DIPHU ,30
15909,10,LMG,LUMDING JN ,26
15909,11,HJI,HOJAI ,39
15909,12,CPK,CHAPARMUKH JN ,48
15909,13,JID,JAGI ROAD ,58
15909,14,GHY,GUWAHATI ,17
15909,15,KYQ,KAMAKHYA ,18
15909,16,RNY,RANGIYA JN ,25
15909,17,BPRD,BARPETA ROAD ,50
15909,18,BNGN,BONGAIGAON ,29
15909,19,NBQ,NEW BONGAIGAON ,39
15909,20,NOQ,NEW ALIPURDAUR ,48
15909,21,NCB,NEW COOCH BEHAR ,46
15909,22,DQG,DHUPGURI ,47
15909,23,JPE,JALPAIGURI ROAD ,49
15909,24,NJP,NEW JALPAIGURI ,45
15909,25,AUB,ALUABARI ROAD ,59
15909,26,KNE,KISHANGANJ ,62
15909,27,DLK,DALKOLHA ,68
15909,28,BOE,BARSOI JN ,68
15909,29,AZR,AZAMNAGAR ROAD ,72
15909,30,KIR,KATIHAR JN ,31
15909,31,NNA,NAUGACHIA ,44
15909,32,THB,THANA BIHPUR JN ,49
15909,33,MNE,MANSI JN ,60
15909,34,KGG,KHAGARIA JN ,66
15909,35,BGS,BEGU SARAI ,77
15909,36,BJU,BARAUNI JN ,71
15909,37,DSS,DALSINGH SARAI ,86
15909,38,SPJ,SAMASTIPUR JN ,81
15909,39,MFP,MUZAFFARPUR JN ,92
15909,40,HJP,HAJIPUR JN ,96
15909,41,SEE,SONPUR JN ,102
15909,42,CPR,CHHAPRA ,72
15909,43,EKMA,EKMA ,81
15909,44,SV,SIWAN JN ,59
15909,45,BHTR,BHATPAR RANI ,65
15909,46,BTT,BHATNI JN ,64
15909,47,DEOS,DEORIA SADAR ,63
15909,48,GKP,GORAKHPUR JN ,78
15909,49,KLD,KHALILABAD ,81
15909,50,BST,BASTI ,86
15909,51,MUR,MANKAPUR JN ,94
15909,52,GD,GONDA JN ,100
15909,53,BBK,BARABANKI JN ,96
15909,54,LKO,LUCKNOW NR ,84
15909,55,BLM,BALAMU JN ,79
15909,56,HRI,HARDOI ,90
15909,57,SPN,SHAHJEHANPUR ,70
15909,58,BE,BAREILLY ,70
15909,59,RMU,RAMPUR ,89
15909,60,MB,MORADABAD ,89
