lead_train,lead_delay,target_train,target_delay,delta_time,station_code,target_delayed
14038,229,12508,95,46.0,NBQ,True
14038,229,22502,49,60.0,NBQ,True
14619,56,22450,179,3.0,NBQ,True
14619,56,12516,69,13.0,NBQ,True
14619,56,05639,83,27.0,NBQ,True
14619,56,12508,95,39.0,NBQ,True
14619,56,22502,49,53.0,NBQ,True
22450,179,12516,69,10.0,NBQ,True
22450,179,05639,83,24.0,NBQ,True
22450,179,12508,95,36.0,NBQ,True
22450,179,22502,49,50.0,NBQ,True
12516,69,05639,83,14.0,NBQ,True
12516,69,12508,95,26.0,NBQ,True
12516,69,22502,49,40.0,NBQ,True
12516,69,12520,66,57.0,NBQ,True
05639,83,12508,95,12.0,NBQ,True
05639,83,22502,49,26.0,NBQ,True
05639,83,12520,66,43.0,NBQ,True
12508,95,22502,49,14.0,NBQ,True
12508,95,12520,66,31.0,NBQ,True
22502,49,12520,66,17.0,NBQ,True
22502,49,12424,47,58.0,NBQ,True
12520,66,12424,47,41.0,NBQ,True
12424,47,02501,166,59.0,NBQ,True
02501,166,02517,180,14.0,NBQ,True
02517,180,15946,60,60.0,NBQ,True
15946,60,20504,45,45.0,NBQ,True
15960,48,12519,145,37.0,NBQ,True
15629,201,12515,196,55.0,NBQ,True
02518,95,13181,75,40.0,NCB,True
15648,92,12510,90,58.0,NCB,True
13182,71,20503,38,27.0,NCB,True
13182,71,12424,42,31.0,NCB,True
13182,71,02501,167,36.0,NCB,True
13182,71,02517,177,46.0,NCB,True
13182,71,12423,67,56.0,NCB,True
20503,38,12424,42,4.0,NCB,True
20503,38,02501,167,9.0,NCB,True
20503,38,02517,177,19.0,NCB,True
20503,38,12423,67,29.0,NCB,True
12424,42,02501,167,5.0,NCB,True
12424,42,02517,177,15.0,NCB,True
12424,42,12423,67,25.0,NCB,True
02501,167,02517,177,10.0,NCB,True
02501,167,12423,67,20.0,NCB,True
02517,177,12423,67,10.0,NCB,True
12423,67,02502,127,60.0,NCB,True
02502,127,20504,47,40.0,NCB,True
20504,47,12520,92,45.0,NCB,True
12520,92,15630,133,41.0,NCB,True
12520,92,22502,76,44.0,NCB,True
15630,133,22502,76,3.0,NCB,True
15630,133,12516,101,28.0,NCB,True
15630,133,12508,132,59.0,NCB,True
22502,76,12516,101,25.0,NCB,True
22502,76,12508,132,56.0,NCB,True
22502,76,05640,194,58.0,NCB,True
12516,101,12508,132,31.0,NCB,True
12516,101,05640,194,33.0,NCB,True
12508,132,05640,194,2.0,NCB,True
12508,132,05639,130,58.0,NCB,True
05640,194,05639,130,56.0,NCB,True
15960,71,15629,201,10.0,NCB,True
02501,22,02517,34,12.0,NDAE,True
20504,1,12424,5,4.0,NDLS,False
20504,1,22450,17,16.0,NDLS,True
20504,1,14038,31,30.0,NDLS,True
12424,5,22450,17,12.0,NDLS,True
12424,5,14038,31,26.0,NDLS,True
22450,17,14038,31,14.0,NDLS,True
12509,201,12515,172,31.0,NFK,True
14037,17,12516,20,3.0,NHLG,True
14037,17,12508,29,12.0,NHLG,True
12516,20,12508,29,9.0,NHLG,True
12516,20,05639,18,58.0,NHLG,True
12508,29,05639,18,49.0,NHLG,True
02502,22,12520,36,14.0,NHLG,True
12504,92,14619,56,24.0,NHLG,True
05640,258,14620,322,4.0,NHLG,True
13181,46,22512,48,2.0,NJP,True
02518,66,14037,30,24.0,NJP,True
